u-1,i-1,u-2,i-2,u-3,i-3,u-4,i-4,U-1,I-1,U-2,I-2,U-3,I-3,U-4,I-4
83.3,10.24,82.7,10.24,82.1,10.24,82.1,10.24,81.9,6.74,83.1,3.42,80.3,2.32,76.1,1.38
83.4,10.24,82.8,10.24,82.4,10.24,82.4,10.24,82.2,7,83.1,3.45,81.8,1.81,78.3,1.22
83.6,10.24,83,10.24,82.5,10.24,82.5,10.24,82.5,7.17,83.3,3.48,82.1,1.45,80.4,0.81
83.7,10.24,83.1,10.24,82.7,10.24,82.8,10.24,82.7,7.31,83.4,3.52,82.4,1.32,81.6,0.41
83.9,10.24,83.3,10.24,82.8,10.24,82.8,10.24,82.8,7.44,83.6,3.56,82.7,1.28,82.1,0.25
83.9,10.24,83.4,10.24,83.1,10.24,83.1,10.24,83,7.56,83.7,3.6,82.8,1.26,82.4,0.22
84,10.24,83.6,10.24,83.1,10.24,83.3,10.24,83.1,7.67,83.9,3.64,83,1.25,82.7,0.2
84.2,10.24,83.7,10.24,83.3,10.24,83.4,10.24,83.3,7.78,84,3.69,83.1,1.24,82.8,0.19
84.3,10.24,83.7,10.24,83.4,10.24,83.4,10.24,83.4,7.88,84.2,3.74,83.3,1.24,83,0.18
84.5,10.24,83.9,10.24,83.6,10.24,83.7,10.24,83.6,8.01,84.3,3.8,83.4,1.24,83,0.17
84.6,10.24,84,10.24,83.7,10.24,83.9,10.24,83.7,8.13,84.3,3.87,83.6,1.24,83.1,0.17
84.6,10.24,84.2,10.24,83.9,10.24,83.9,10.24,83.9,8.26,84.5,3.92,83.7,1.24,83.4,0.16
84.8,10.24,84.3,10.24,84,10.24,84,10.24,83.9,8.39,84.6,3.98,83.7,1.25,83.6,0.16
84.9,10.24,84.5,10.24,84.2,10.24,84.2,10.24,84,8.52,84.8,4.06,84,1.25,83.6,0.16
84.9,10.24,84.5,10.24,84.2,10.24,84.3,10.24,84.2,8.65,84.9,4.13,84,1.26,83.7,0.15
85.1,10.24,84.6,10.24,84.3,10.24,84.5,10.24,84.3,8.79,85.1,4.19,84.2,1.27,83.9,0.15
85.2,10.24,84.8,10.24,84.5,10.24,84.6,10.24,84.5,8.92,85.2,4.26,84.3,1.28,84,0.14
85.4,10.24,84.9,10.24,84.6,10.24,84.6,10.24,84.6,9.06,85.2,4.33,84.5,1.3,84,0.14
85.4,10.24,85.1,10.24,84.6,10.24,84.8,10.24,84.8,9.23,85.4,4.41,84.5,1.31,84.3,0.14
85.4,10.24,85.1,10.24,84.8,10.24,84.9,10.24,84.8,9.38,85.4,4.48,84.6,1.33,84.3,0.14
85.4,10.24,85.2,10.24,84.9,10.24,85.1,10.24,84.9,9.51,85.4,4.52,84.8,1.35,84.5,0.14
85.4,10.24,85.4,10.24,85.1,10.24,85.1,10.24,85.1,9.62,85.4,4.52,84.9,1.38,84.6,0.13
85.4,10.24,85.4,10.24,85.1,10.24,85.2,10.24,85.2,9.73,85.4,4.5,85.1,1.39,84.8,0.13
85.4,10.24,85.4,10.24,85.2,10.24,85.4,10.24,85.2,9.82,85.4,4.49,85.1,1.41,84.9,0.13
85.4,10.24,85.4,10.24,85.4,10.24,85.4,10.24,85.4,9.91,85.4,4.48,85.2,1.44,84.9,0.13
85.4,10.24,85.4,10.24,85.4,10.24,85.4,10.24,85.4,9.98,85.4,4.48,85.4,1.46,85.1,0.13
85.4,10.24,85.4,10.24,85.4,10.24,85.4,10.24,85.4,10,85.4,4.49,85.4,1.48,85.2,0.13
85.4,10.24,85.4,10.24,85.4,10.24,85.4,10.24,85.4,10,,,85.4,1.5,85.2,0.14
85.4,10.24,85.4,10.24,85.4,10.24,85.4,10.24,85.4,10,,,85.4,1.5,85.4,0.13
85.4,10.24,85.4,10.24,85.4,10.24,85.4,10.24,85.4,9.99,,,85.4,1.51,85.4,0.13
85.4,10.24,85.4,10.24,85.4,10.24,85.4,10.24,85.4,9.99,,,85.4,1.51,85.4,0.13
,,85.4,10.24,85.4,10.24,85.4,10.24,85.4,9.99,,,85.4,1.51,85.4,0.13
,,85.4,10.24,85.4,10.24,85.4,10.24,85.4,9.99,,,85.4,1.51,85.4,0.13
,,85.4,10.24,85.4,10.24,85.4,10.24,85.4,9.99,,,85.4,1.51,85.4,0.13
